Job,Company,Location,Publication date,Company's rate
Analyste fonctionnel,Siege Asp Limoges,Limoges (87),0,Not specified
Analyste business intelligence,Daytona,Boulogne-Billancourt (92),0,"['3,8']"
Analyste développeur mdm informatica (h/f) / freelance,Espace Freelance,Villeneuve-d'Ascq (59),0,Not specified
Consultant data & bi microsoft (power bi / azure,Exakis Nelite,Paris (75),0,Not specified
Analyste cybersécurité (h/f) / freelance,Scc,Paris (75),0,"['3,3']"
Analyste business intelligence,Daytona,Boulogne-Billancourt (92),0,"['3,8']"
Analyste business intelligence,Daytona,Boulogne-Billancourt (92),0,"['3,8']"
Business analyst / freelance,Genious,Paris (75),0,Not specified
Business analyst - moa (h/f) / freelance,Espace Freelance,Niort (79),0,Not specified
Cdi - analyste fonctionnel 3d expérience plm,Naval Group,Lorient (56),0,"['4,2']"
Ingénieur big data,Enedis,Nanterre (92),0,"['4,1']"
Analyste de veille marchés publics (appels d'offres,Octopusmind,Nantes (44),0,Not specified
Analyste business intelligence,Daytona,Boulogne-Billancourt (92),0,"['3,8']"
Analyste business intelligence,Daytona,Boulogne-Billancourt (92),0,"['3,8']"
Business analyst / freelance,Genious,Paris (75),0,Not specified
Business / data analyst santé - stage,Carenity,Paris (75),0,Not specified
Cdi - analyste fonctionnel 3d expérience plm,Naval Group,Lorient (56),0,"['4,2']"
Analyste de veille marchés publics (appels d'offres,Octopusmind,Nantes (44),0,Not specified
Business analyst kyc/lutte anti-blanchiment -,Ingeniance,Paris (75),0,"['3,6']"
Responsable sécurité / eh&s analyst,Ncr,Massy (91),0,"['3,6']"
Analyste traitement de données,Aaa Data,Paris (75),0,Not specified
Alternant analyste financier,Altitude Infrastructure,Val-de-Reuil (27),0,"['3,7']"
Data analyst,Stedy,Paris 1er (75),0,Not specified
Assistant data analyst en alternance,Houdan Cuisines,Lens (62),0,"['3,6']"
Cdd - nature and sustainability reporting analyst - paris,Danone,Paris (75),0,"['4,2']"
Data officer - data factory,Euro Information,Strasbourg (67),0,"['3,9']"
