,Family,Genus,CommonName,Average_Weight
0,Cercopithecidae,Allenopithecus,Allen_s_Swamp_Monkey,4.65
1,Cercopithecidae,Allenopithecus,Allen_s_Swamp_Monkey,5.95
2,Cheirogaleidae,Allocebus,Hairy_eared_Dwarf_Lemur,0.08
3,Cheirogaleidae,Allocebus,Hairy_eared_Dwarf_Lemur,0.08
4,Cercopithecidae,Allochrocebus,L_Hoest_s_Monkey,5.0
5,Cercopithecidae,Allochrocebus,L_Hoest_s_Monkey,6.0
6,Cercopithecidae,Allochrocebus,Preuss_s_Monkey,3.8
7,Cercopithecidae,Allochrocebus,Preuss_s_Monkey,5.25
8,Cercopithecidae,Allochrocebus,Sun_tailed_Monkey,5.4
9,Cercopithecidae,Allochrocebus,Sun_tailed_Monkey,7.3
10,Atelidae,Alouatta,Ursine_Red_Howler,6.37
11,Atelidae,Alouatta,Red_handed_Howler,6.4
12,Atelidae,Alouatta,Paraguayan_Howler,5.38
13,Atelidae,Alouatta,Spix_s_Howler,6.37
14,Atelidae,Alouatta,Brown_Howler,5.54
15,Atelidae,Alouatta,Guianan_Red_Howler,6.37
16,Atelidae,Alouatta,Amazon_Black_Howler,6.45
17,Atelidae,Alouatta,Mantled_Howler,6.12
18,Atelidae,Alouatta,Central_American_Black_Howler,6.56
19,Atelidae,Alouatta,Bolivian_Red_Howler,6.5
20,Atelidae,Alouatta,Colombian_Red_Howler,5.92
21,Atelidae,Alouatta,Colombian_Red_Howler,6.1
22,Atelidae,Alouatta,Maranhão_Red_handed_Howler,4.7
23,Aotidae,Aotus,Azara_s_Night_Monkey,1.21
24,Aotidae,Aotus,Brumback_s_Night_Monkey,0.67
25,Aotidae,Aotus,Gray_legged_Night_Monkey,0.51
26,Aotidae,Aotus,Hernández_Camacho_s_Night_Monkey,
27,Aotidae,Aotus,Lemurine_Night_Monkey,0.89
28,Aotidae,Aotus,Andean_Night_Monkey,0.8
29,Aotidae,Aotus,Ma_s_Night_Monkey,0.79
30,Aotidae,Aotus,Black_headed_Night_Monkey,0.96
31,Aotidae,Aotus,Humboldt_s_Night_Monkey,0.77
32,Aotidae,Aotus,Spix_s_Night_Monkey,0.7
33,Aotidae,Aotus,Panamanian_Night_Monkey,0.9
34,Lorisidae,Arctocebus,Golden_Angwantibo,0.21
35,Lorisidae,Arctocebus,Calabar_Angwantibo,0.31
36,Atelidae,Ateles,White_bellied_Spider_Monkey,8.07
37,Atelidae,Ateles,Black_Spider_Monkey,9.37
38,Atelidae,Ateles,Brown_headed_Spider_Monkey,9.03
39,Atelidae,Ateles,Central_American_Spider_Monkey,7.54
40,Atelidae,Ateles,Variegated_Spider_Monkey,8.6
