,Scientific Names,CommonName,Region,Country,Average_Weight,DielActivity,Locomotion,Status,HomeRange_ha,Habitat_Forest,Habitat_Savanna,Habitat_Shrubland,Habitat_Grassland,Habitat_Wetlands,Habitat_Rocky areas,Habitat_Desert,TrophicGuild,Fruit,Leaves,Flowers,Seeds,Gums,Nectar,Animal,Insects,Other
0,Hylobatidae Hylobates,Agile Gibbon,South East Asia,Indonesia,6.0,D,AR,3,29.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Frugivore,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
1,Cercopithecidae Cercocebus,Agile Mangabey,North West Africa,CÃ´te dÂIvoire,7.58,D,BOTH,0,303.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Frugivore,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Atelidae Alouatta,Amazon Black Howler,South America,Brazil,6.45,D,AR,0,25.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Foli-frugivore,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Aotidae Aotus,Andean Night Monkey,South America,Brazil,0.8,N,AR,2,1.23,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Omnivore,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
4,Lepilemuridae Lepilemur,Andohahela Sportive Lemur,Madagascar,Madagascar,0.89,N,AR,4,5.16,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Folivore,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,Cercopithecidae Colobus,Angolan Colobus,Central Africa,Rwanda,8.6,D,AR,0,371.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Folivore,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
6,Lepilemuridae Lepilemur,Ankarana Sportive Lemur,Madagascar,Madagascar,0.77,N,AR,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Foli-frugivore,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Cercopithecidae Macaca,Arunachal Macaque,South East Asia,India,15.0,D,BOTH,3,26.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Folivore,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
8,Cercopithecidae Piliocolobus,Ashy Red Colobus,Central Africa,Uganda,8.75,D,AR,3,308.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Folivore,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Cercopithecidae Macaca,Assamese Macaque,South East Asia,Thailand,9.0,D,AR,1,433.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Frugivore,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Daubentoniidae Daubentonia,Aye aye,Madagascar,Madagascar,2.56,N,AR,3,102.95,1.0,0.0,1.0,0.0,0.0,0.0,0.0,Insectivore,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
11,Aotidae Aotus,Azara s Night Monkey,South America,Colombia,1.21,CA,AR,0,7.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Omnivore,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Pitheciidae Cacajao,Bald Uacari,South America,Brazil,3.17,D,AR,2,493.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Frugivore,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
13,Cercopithecidae Chlorocebus,Bale Monkey,East Africa,Ethiopia,3.98,D,BOTH,2,15.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Folivore,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
14,Cercopithecidae Presbytis,Banded Langur,South East Asia,Indonesia,6.22,D,AR,1,24.85,1.0,0.0,0.0,1.0,1.0,0.0,0.0,Foli-frugivore,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Cercopithecidae Macaca,Barbary Macaque,North Africa,Morocco,13.5,D,BOTH & T,3,725.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,Omnivore,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
16,Cebidae Sapajus,Bearded Capuchin,South America,Brazil,2.54,D,AR,0,300.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Omnivore,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Indriidae Avahi,Bemaraha Woolly Lemur,Madagascar,Madagascar,1.03,N,AR,3,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Folivore,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,Cercopithecidae Semnopithecus,Bengal Sacred Langur,South East Asia,India,11.44,D,T,0,82.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,Foli-frugivore,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
19,Lorisidae Nycticebus,Bengal Slow Loris,South East Asia,India,1.26,N,AR,2,15.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Gummivore,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Galagidae Sciurocheirus,Bioko Squirrel Galago,West Africa,Angola,0.27,N,AR,3,2.35,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Frugivore,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Pitheciidae Chiropotes,Black Bearded Saki,Central America,Surinam,3.03,D,AR,4,58.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Frugivore,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Cercopithecidae Colobus,Black Colobus,North West Africa,Cameroon,8.91,D,AR,2,573.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Frugivore,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
23,Lemuridae Eulemur,Black Lemur,Madagascar,Madagascar,2.063333333333333,CA,AR,2,19.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Frugivore,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,Callitrichidae Leontopithecus,Black Lion Tamarin,South America,Brazil,0.615,D,AR,3,138.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Frugivore,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
25,Atelidae Ateles,Black Spider Monkey,South America,Bolivia,9.37,D,AR,3,192.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Frugivore,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
26,Lemuridae Varecia,Black and white Ruffed Lemur,Madagascar,Madagascar,3.58,D,AR,4,116.67,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Frugivore,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,Cebidae Saimiri,Black capped Squirrel Monkey,South America,Brazil,0.88,D,AR,0,375.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Omnivore,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Cercopithecidae Presbytis,Black crested Sumatran Langur,South East Asia,Indonesia,6.53,D,AR,3,22.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,Foli-frugivore,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,Callitrichidae Leontopithecus,Black faced Lion Tamarin,South America,Peru,0.58,D,AR,4,345.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Frugivore,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
30,Aotidae Aotus,Black headed Night Monkey,South America,Brazil,0.96,N,AR,0,10.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Frugivore,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,Cebidae Saimiri,Black headed Squirrel Monkey,South America,Guiana,0.8,D,AR,2,80.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Omnivore,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Cebidae Sapajus,Black horned Capuchin,South America,Brazil,3.7,D,AR,1,161.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Omnivore,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
33,Callitrichidae Leontocebus,Black mantled tamarin,Central America,Ecuador,0.48,D,AR,0,49.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Omnivore,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,Cercopithecidae Pygathrix,Black shanked Douc,South East Asia,Vietnam,9.88,D,AR,3,30.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Foli-frugivore,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
35,Callitrichidae Mico,Black tailed Marmoset,South America,Brazil,0.22,D,AR,0,429.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Omnivore,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,Callitrichidae Callithrix,Black tufted ear Marmoset,South America,Brazil,0.33,D,AR,0,12.8,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Gummivore,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
37,Cebidae Sapajus,Blond Capuchin,South America,Brazil,2.55,D,AR,4,51.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Omnivore,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
38,Pitheciidae Callicebus,Blond Titi,South America,Brazil,1.15,D,AR,4,50.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,Gummivore,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
39,Cercopithecidae Cercopithecus,Blue Monkey,South Africa,South Africa,4.89,D,AR,0,175.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Frugivore,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
40,Lemuridae Eulemur,Blue eyed Black Lemur,Madagascar,Madagascar,1.82,CA,AR,4,5.28,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Foli-frugivore,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,Cercopithecidae Macaca,Bonnet Macaque,South East Asia,Indonesia,5.14,D,BOTH,0,26.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,Frugivore,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
42,Hominidae Pan,Bonobo,West Africa,Congo,39.1,D,BOTH,3,4000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Omnivore,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
43,Cercopithecidae Macaca,Booted Macaque,South East Asia,Indonesia,3.95,D,BOTH,2,57.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Frugivore,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
44,Hominidae Pongo,Bornean Orangutan,South East Asia,Borneo,57.15,D,AR,4,409.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Frugivore,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
45,Hylobatidae Hylobates,Bornean White bearded Gibbon,South East Asia,Borneo,5.95,D,AR,3,53.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Frugivore,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
46,Atelidae Alouatta,Brown Howler,South America,Brazil,5.54,D,AR,0,26.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Foli-frugivore,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
47,Lemuridae Eulemur,Brown Lemur,Madagascar,Madagascar,2.05,CA,AR,1,16.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Foli-frugivore,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
48,Pitheciidae Plecturocebus,Brown Titi,South America,Peru,0.83,D,AR,0,3.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Frugivore,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
49,Aotidae Aotus,Brumback s Night Monkey,South America,Colombia,0.67,N,AR,2,17.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Omnivore,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,Pitheciidae Pithecia,Buffy Saki,South America,Brazil,3.0,D,AR,0,172.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Frugivore,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
51,Callitrichidae Callithrix,Buffy headed Marmoset,South America,Brazil,0.43,D,AR,3,35.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Gummivore,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
52,Callitrichidae Callithrix,Buffy tufted ear Marmoset,South America,Brazil,0.44,D,AR,2,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Omnivore,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0
53,Lorisidae Arctocebus,Calabar Angwantibo,West Africa,Congo,0.31,N,AR,0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Insectivore,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
54,Cercopithecidae Cercopithecus,Campbell s Monkey,North West Africa,CÃ´te dÂIvoire,3.6,D,AR,0,72.375,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Omnivore,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
55,Cercopithecidae Trachypithecus,Capped Langur,South East Asia,Bangladesh,10.93,D,AR,2,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Folivore,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,Cercopithecidae Trachypithecus,Cat Ba Langur,South East Asia,Vietnam,8.05,D,BOTH,4,30.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,Folivore,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,Atelidae Alouatta,Central American Black Howler,Central America,Belize,6.56,D,AR,3,16.86,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Foli-frugivore,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
58,Atelidae Ateles,Central American Spider Monkey,Central America,Ecuador,7.54,D,AR,3,388.09714285714284,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Frugivore,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
59,Cebidae Saimiri,Central American Squirrel Monkey,Central America,Panama,0.79,D,AR,2,176.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Omnivore,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,Cercopithecidae Papio,Chacma Baboon,South Africa,Lesotho,22.3,D,T,0,500.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,Omnivore,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
61,Cercopithecidae Semnopithecus,Chamba Sacred Langur,South East Asia,India,20.15,D,BOTH,3,305.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Foli-frugivore,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
