,CommonName,DielActivity
0,Allen_s_Swamp_Monkey,D
1,Hairy_eared_Dwarf_Lemur,N
2,L_Hoest_s_Monkey,D
3,Preuss_s_Monkey,D
4,Sun_tailed_Monkey,D
5,Ursine_Red_Howler,D
6,Red_handed_Howler,D
7,Paraguayan_Howler,D
8,Spix_s_Howler,D
9,Brown_Howler,D
10,Guianan_Red_Howler,D
11,Amazon_Black_Howler,D
12,Mantled_Howler,D
13,Central_American_Black_Howler,D
14,Bolivian_Red_Howler,D
15,Colombian_Red_Howler,D
16,Maranhão_Red_handed_Howler,D
17,Azara_s_Night_Monkey,CA
18,Brumback_s_Night_Monkey,N
19,Gray_legged_Night_Monkey,N
20,Hernández_Camacho_s_Night_Monkey,N
21,Lemurine_Night_Monkey,N
22,Andean_Night_Monkey,N
23,Ma_s_Night_Monkey,N
24,Black_headed_Night_Monkey,N
25,Humboldt_s_Night_Monkey,N
26,Spix_s_Night_Monkey,N
27,Panamanian_Night_Monkey,N
28,Golden_Angwantibo,N
29,Calabar_Angwantibo,N
30,White_bellied_Spider_Monkey,D
31,Black_Spider_Monkey,D
32,Brown_headed_Spider_Monkey,D
33,Central_American_Spider_Monkey,D
34,Variegated_Spider_Monkey,D
35,White_whiskered_Spider_Monkey,D
36,Red_faced_Black_Spider_Monkey,D
37,Betsileo_Woolly_Lemur,N
38,Bemaraha_Woolly_Lemur,N
39,Eastern_Woolly_Lemur,N
40,Southern_Woolly_Lemur,N
41,Masoala_Woolly_Lemur,N
42,Western_Woolly_Lemur,N
43,Peyrieras_s_Woolly_Lemur,N
44,Manombo_Woolly_Lemur,N
45,Sambirano_Woolly_Lemur,N
46,Southern_Muriqui,D
47,Northern_Muriqui,D
48,Ayres_Black_Uakari,
49,Bald_Uacari,D
51,Black_headed_Uacari,D
52,Spix_s_Black_headed_Uacari,D
53,Black_crowned_Dwarf_Marmoset,D
54,Blond_Titi,D
55,Coimbra_Filho_s_Titi,D
56,Southern_Bahian_Titi,D
57,Black_fronted_Titi,D
58,Masked_Titi,D
59,Goeldi_s_Monkey*,D
60,Buffy_tufted_ear_Marmoset,D
61,Buffy_headed_Marmoset,D
62,Geoffroy_s_Tufted_ear_Marmoset,D
63,Common_Marmoset,D
64,Wied_s_Black_tufted_ear_Marmoset,D
65,Black_tufted_ear_Marmoset,D
66,Philippine_Tarsier,N
67,Eastern_Pygmy_Marmoset,
68,Pygmy_Marmoset,D
69,Ecuadorian_White_fronted_Capuchin,D
70,Humboldt_s_White_fronted_Capuchin,D
71,Venezuelan_Brown_Capuchin,D
72,Colombian_White_faced_Capuchin,D
73,Río_Cesar_White_fronted_Capuchin,D
74,Shock_headed_Capuchin,D
75,Panamanian_White_faced_Capuchin,D
76,Ka_apor_Capuchin,D
77,Sierra_de_Perijá_White_fronted_Capuchin,D
78,Santa_Marta_White_fronted_Capuchin,D
79,Guianan_Weeper_Capuchin,D
80,Spix_s_White_fronted_Capuchin,D
81,Varied_White_fronted_Capuchin,D
82,Marañón_White_fronted_Capuchin,D
83,Western_Tarsier,N
84,Agile_Mangabey,D
85,Sooty_Mangabey,D
86,Golden_bellied_Mangabey,D
87,Tana_River_Mangabey,D
88,White_naped_Mangabey,D
89,Sanje_River_Mangabey,D
90,Red_capped_Mangabey,D
91,Syke_s_Monkey,D
92,Red_tailed_Monkey,D
93,Campbell_s_Monkey,D
94,Moustached_Monkey,D
95,Dent_s_Monkey,D
96,Diana_Monkey,D
97,Silver_Monkey,D
98,Dryas_Monkey,D
99,Red_bellied_Monkey,D
100,Red_eared_Monkey,D
101,Owl_faced_Monkey,D
102,Virungas_Golden_Monkey,D
103,Lesula,D
104,Lowe_s_Monkey,D
105,Blue_Monkey,D
106,Mona_Monkey,D
107,De_Brazza_s_Monkey,D
108,Putty_nosed_Monkey,D
109,Spot_nosed_Monkey,D
110,Crowned_Monkey,D
