,CommonName,Status
0,Allen_s_Swamp_Monkey,LC
1,Hairy_eared_Dwarf_Lemur,VU
2,L_Hoest_s_Monkey,VU
3,Preuss_s_Monkey,EN
4,Sun_tailed_Monkey,VU
5,Ursine_Red_Howler,LC
6,Red_handed_Howler,VU
7,Paraguayan_Howler,LC
8,Spix_s_Howler,VU
9,Brown_Howler,LC
10,Guianan_Red_Howler,LC
11,Amazon_Black_Howler,LC
12,Mantled_Howler,LC
13,Central_American_Black_Howler,EN
14,Bolivian_Red_Howler,LC
15,Colombian_Red_Howler,LC
16,MaranhÃ£o_Red_handed_Howler,EN
17,Azara_s_Night_Monkey,LC
18,Brumback_s_Night_Monkey,VU
19,Gray_legged_Night_Monkey,VU
20,HernÃ¡ndez_Camacho_s_Night_Monkey,DD
21,Lemurine_Night_Monkey,VU
22,Andean_Night_Monkey,VU
23,Ma_s_Night_Monkey,VU
24,Black_headed_Night_Monkey,LC
25,Humboldt_s_Night_Monkey,LC
26,Spix_s_Night_Monkey,LC
27,Panamanian_Night_Monkey,DD
28,Golden_Angwantibo,LC
29,Calabar_Angwantibo,LC
30,White_bellied_Spider_Monkey,EN
31,Black_Spider_Monkey,EN
32,Brown_headed_Spider_Monkey,CR
33,Central_American_Spider_Monkey,EN
34,Variegated_Spider_Monkey,CR
35,White_whiskered_Spider_Monkey,EN
36,Red_faced_Black_Spider_Monkey,VU
37,Betsileo_Woolly_Lemur,EN
38,Bemaraha_Woolly_Lemur,EN
39,Eastern_Woolly_Lemur,VU
40,Southern_Woolly_Lemur,EN
41,Masoala_Woolly_Lemur,EN
42,Western_Woolly_Lemur,EN
43,Peyrieras_s_Woolly_Lemur,VU
44,Manombo_Woolly_Lemur,VU
45,Sambirano_Woolly_Lemur,EN
46,Southern_Muriqui,EN
47,Northern_Muriqui,CR
48,Ayres_Black_Uakari,VU
49,Bald_Uacari,VU
50,Black_headed_Uacari,VU
52,Spix_s_Black_headed_Uacari,VU
53,Black_crowned_Dwarf_Marmoset,LC
54,Blond_Titi,CR
55,Coimbra_Filho_s_Titi,EN
56,Southern_Bahian_Titi,VU
57,Black_fronted_Titi,NT
58,Masked_Titi,VU
59,Goeldi_s_Monkey*,VU
60,Buffy_tufted_ear_Marmoset,VU
61,Buffy_headed_Marmoset,EN
62,Geoffroy_s_Tufted_ear_Marmoset,LC
63,Common_Marmoset,LC
64,Wied_s_Black_tufted_ear_Marmoset,NT
65,Black_tufted_ear_Marmoset,LC
66,Philippine_Tarsier,NT
67,Eastern_Pygmy_Marmoset,LC
68,Pygmy_Marmoset,LC
69,Ecuadorian_White_fronted_Capuchin,CR
70,Humboldt_s_White_fronted_Capuchin,LC
71,Venezuelan_Brown_Capuchin,LC
72,Colombian_White_faced_Capuchin,LC
73,RÃ­o_Cesar_White_fronted_Capuchin,DD
74,Shock_headed_Capuchin,NT
75,Panamanian_White_faced_Capuchin,LC
76,Ka_apor_Capuchin,CR
77,Sierra_de_PerijÃ¡_White_fronted_Capuchin,NE
78,Santa_Marta_White_fronted_Capuchin,EN
79,Guianan_Weeper_Capuchin,LC
80,Spix_s_White_fronted_Capuchin,LC
81,Varied_White_fronted_Capuchin,EN
82,MaraÃ±Ã³n_White_fronted_Capuchin,NE
83,Western_Tarsier,VU
84,Agile_Mangabey,LC
85,Sooty_Mangabey,NT
86,Golden_bellied_Mangabey,DD
87,Tana_River_Mangabey,EN
88,White_naped_Mangabey,EN
89,Sanje_River_Mangabey,EN
90,Red_capped_Mangabey,VU
91,Syke_s_Monkey,LC
92,Red_tailed_Monkey,LC
93,Campbell_s_Monkey,LC
94,Moustached_Monkey,LC
95,Dent_s_Monkey,LC
96,Diana_Monkey,VU
97,Silver_Monkey,LC
98,Dryas_Monkey,CR
99,Red_bellied_Monkey,VU
100,Red_eared_Monkey,VU
101,Owl_faced_Monkey,VU
102,Virungas_Golden_Monkey,EN
103,Lesula,NE
104,Lowe_s_Monkey,LC
105,Blue_Monkey,LC
106,Mona_Monkey,LC
107,De_Brazza_s_Monkey,LC
108,Putty_nosed_Monkey,LC
109,Spot_nosed_Monkey,LC
110,Crowned_Monkey,VU
111,Roloway_Monkey,EN
112,Sclater_s_Monkey,VU
113,Wolf_s_Monkey,LC
114,Montagne_d_Ambre_Dwarf_Lemur,NE
115,Crossley_s_Dwarf_Lemur,DD
116,Lavasoa_Dwarf_lemur,NE
117,Greater_Dwarf_Lemur,DD
118,Fat_tailed_Dwarf_Lemur,LC
119,Lesser_Iron_gray_Dwarf_Lemur,DD
120, Sheth's_Dwarf_Lemur,Unrated
121,Sibree_s_Dwarf_Lemur,CR
122,Thomas_s_Dwarf_Lemur,NE
123,Yellow_handed_Titi,LC
124,White_chested_Titi,LC
125,Medem_s_Titi,VU
126,Rio_Purus_Titi,LC
127,Rio_JuruÃ¡_Collared_Titi,LC
128,White_collared_Titi,LC
129,White_nosed_Bearded_Saki,EN
130,Rio_Negro_Beared_Saki,LC
131, Brown_backed_Bearded_Saki,Unrated
132,Guianan_Beared_Saki,NE
133,Black_Bearded_Saki,CR
134,Uta_Hick_s_Bearded_Saki,EN
135,Grivet_Monkey,LC
136,Malbrouck_Monkey,LC
137,Bale_Monkey,VU
138,Vervet_Monkey,LC
139,Green_Monkey,LC
140,Tantalus_Monkey,LC
141,Angolan_Colobus,LC
142,Guereza,LC
143,King_Colobus,VU
144,Black_Colobus,VU
145,White_thighed_Colobus,VU
146,Aye_aye,EN
147,Patas_Monkey,LC
148,Heuglin's_Patas_Monkey,Unrated
149,White_fronted_Brown_Lemur,EN
150,White_collared_Brown_Lemur,CR
151,Red_collared_Brown_Lemur,EN
152,Crowned_Lemur,EN
153,Blue_eyed_Black_Lemur,CR
154,Brown_Lemur,NT
155,Black_Lemur,VU
156,Mongoose_Lemur,CR
157,Red_bellied_Lemur,VU
158,Red_fronted_Brown_Lemur,NT
159,Rufous_Brown_Lemur,VU
160,Sanford_s_Brown_Lemur,EN
161,Southern_Needle_clawed_Galago,LC
162,Northern_Needle_clawed_Galago,LC
163,Somali_Lesser_Galago,LC
164,Spectacled_Lesser_Galago,LC
165,Southern_Lesser_Galago,LC
166,Northern_Lesser_Galago,LC
167,Kenya_Coast_Dwarf_Galago,LC
168,Demidoff_s_Dwarf_Galago,LC
169,Mozambique_Dwarf_Galago,LC
170,Mountain_Dwarf_Galago,NT
171,Rondo_Dwarf_Galago,CR
172,Angolan_Dwarf_Galago,Unrated
173,Thomas_s_Dwarf_Galago,LC
174,Tanzania_Coast_Dwarf_Galago,LC
175,Eastern_Gorilla,CR
176,Western_Gorilla,CR
177,Lac_Alaotra_Bamboo_Lemur,CR
178,Golden_Bamboo_Lemur,CR
179,Gray_Bamboo_Lemur,VU
180,Southern_Bamboo_Lemur,VU
181,Northern_Bamboo_Lemur,VU
182,Western_Hoolock_Gibbon,EN
183,Eastern_Hoolock_Gibbon,VU
184,Skywalker_Hoolock_Gibbon,Unrated
185,Abbott_s_Gray_Gibbon,EN
186,Agile_Gibbon,EN
187,Bornean_White_bearded_Gibbon,EN
188,East_Bornean_Gray_Gibbon,EN
189,Kloss_s_Gibbon,EN
190,Lar_Gibbon,EN
191,Moloch_Gibbon,EN
192,MÃ¼ller_s_Gibbon,EN
193,Pileated_Gibbon,EN
194,Indri,CR
195,Gray_Woolly_Monkey,EN
196,Peruvian_Yellow_tailed_Woolly_Monkey,CR
197,Humboldt_s_Woolly_Monkey,VU
198,Colombian_Woolly_Monkey,CR
199,Poeppig_s_Woolly_Monkey,VU
200,Ring_tailed_Lemur,EN
201,Cruz_LimaÂs_Saddle_back_Tamarin,LC
202,Spix_s_Saddle_back_Tamarin,LC
203,Lesson_s_Saddle_back_Tamarin,LC
204,Illiger_s_Saddle_back_Tamarin,LC
205,Red_mantled_Saddle_back_Tamarin,LC
206,Andean_Saddle_back_Tamarin,LC
207,Black_mantled_tamarin,LC
208,Geoffroy_s_Saddle_back_Tamarin,LC
209,Golden_mantled_Saddle_back_Tamarin,NT
210,WeddellÂs_Saddle_back_Tamarin,LC
211,Black_faced_Lion_Tamarin,CR
212,Golden_headed_Lion_Tamarin,EN
213,Black_Lion_Tamarin,EN
214,Golden_Lion_Tamarin,EN
