,CommonName,HomeRange_ha
0,Allen_s_Swamp_Monkey,
1,Hairy_eared_Dwarf_Lemur,25.75
2,L_Hoest_s_Monkey,116.6
4,Preuss_s_Monkey,
5,Sun_tailed_Monkey,
6,Ursine_Red_Howler,7.52
9,Red_handed_Howler,7.125
11,Paraguayan_Howler,1.95
13,Spix_s_Howler,69.0
15,Brown_Howler,26.0
17,Guianan_Red_Howler,45.0
19,Amazon_Black_Howler,25.0
20,Mantled_Howler,40.45
21,Central_American_Black_Howler,16.86
23,Bolivian_Red_Howler,
24,Colombian_Red_Howler,22.0
27,Maranhão_Red_handed_Howler,24.74
28,Azara_s_Night_Monkey,7.0
29,Brumback_s_Night_Monkey,17.5
30,Gray_legged_Night_Monkey,
31,Hernández_Camacho_s_Night_Monkey,
32,Lemurine_Night_Monkey,4.35
34,Andean_Night_Monkey,1.23
35,Ma_s_Night_Monkey,9.2
36,Black_headed_Night_Monkey,10.5
37,Humboldt_s_Night_Monkey,4.0
38,Spix_s_Night_Monkey,6.3
39,Panamanian_Night_Monkey,8.0
41,Golden_Angwantibo,
42,Calabar_Angwantibo,10.0
43,White_bellied_Spider_Monkey,269.9166666666667
49,Black_Spider_Monkey,192.0
50,Brown_headed_Spider_Monkey,
51,Central_American_Spider_Monkey,388.0971428571429
58,Variegated_Spider_Monkey,40.0
60,White_whiskered_Spider_Monkey,
61,Red_faced_Black_Spider_Monkey,255.0
62,Betsileo_Woolly_Lemur,
63,Bemaraha_Woolly_Lemur,2.0
64,Eastern_Woolly_Lemur,1.5
65,Southern_Woolly_Lemur,5.72
66,Masoala_Woolly_Lemur,
67,Western_Woolly_Lemur,0.95
68,Peyrieras_s_Woolly_Lemur,1.0
69,Manombo_Woolly_Lemur,
70,Sambirano_Woolly_Lemur,
71,Southern_Muriqui,340.0
73,Northern_Muriqui,309.0
75,Ayres_Black_Uakari,
76,Bald_Uacari,493.0
78,Black_headed_Uacari,
80,Spix_s_Black_headed_Uacari,500.0
81,Black_crowned_Dwarf_Marmoset,
82,Blond_Titi,50.0
83,Coimbra_Filho_s_Titi,10.0
84,Southern_Bahian_Titi,22.0
86,Black_fronted_Titi,34.5
87,Masked_Titi,11.5
88,Goeldi_s_Monkey*,150.0
91,Buffy_tufted_ear_Marmoset,11.0
95,Buffy_headed_Marmoset,35.5
96,Geoffroy_s_Tufted_ear_Marmoset,23.3
97,Common_Marmoset,2.2
99,Wied_s_Black_tufted_ear_Marmoset,38.9
102,Black_tufted_ear_Marmoset,12.8
105,Philippine_Tarsier,4.4030000000000005
106,Eastern_Pygmy_Marmoset,
107,Pygmy_Marmoset,0.34
110,Ecuadorian_White_fronted_Capuchin,288.0
111,Humboldt_s_White_fronted_Capuchin,115.0
113,Venezuelan_Brown_Capuchin,84.0
114,Colombian_White_faced_Capuchin,59.0
120,Río_Cesar_White_fronted_Capuchin,
121,Shock_headed_Capuchin,150.0
122,Panamanian_White_faced_Capuchin,134.4
123,Ka_apor_Capuchin,62.4
124,Sierra_de_Perijá_White_fronted_Capuchin,
125,Santa_Marta_White_fronted_Capuchin,
126,Guianan_Weeper_Capuchin,257.0
127,Spix_s_White_fronted_Capuchin,
128,Varied_White_fronted_Capuchin,
129,Marañón_White_fronted_Capuchin,240.0
130,Western_Tarsier,1.5
132,Agile_Mangabey,303.0
134,Sooty_Mangabey,500.0
135,Golden_bellied_Mangabey,
136,Tana_River_Mangabey,59.7
137,White_naped_Mangabey,200.0
138,Sanje_River_Mangabey,240.0
