CommonName,HomeRange_ha,Status,Habitat_Forest,Habitat_Savanna,Habitat_Shrubland,Habitat_Grassland,Habitat_Wetlands,Habitat_Rocky areas,Habitat_Desert,Average_Weight
Allen_s_Swamp_Monkey,,LC,1.0,0.0,0.0,0.0,1.0,0.0,0.0,5.300000000000002
Hairy_eared_Dwarf_Lemur,25.75,VU,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08
L_Hoest_s_Monkey,116.6,VU,1.0,0.0,1.0,0.0,1.0,0.0,0.0,5.0
Preuss_s_Monkey,,EN,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8
Sun_tailed_Monkey,,VU,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4
Ursine_Red_Howler,7.52,LC,1.0,1.0,0.0,0.0,0.0,0.0,0.0,6.37
Red_handed_Howler,7.125,VU,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4
Paraguayan_Howler,1.95,LC,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5.38
Spix_s_Howler,69.0,VU,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.37
Brown_Howler,26.0,LC,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.54
Guianan_Red_Howler,45.0,LC,1.0,1.0,0.0,0.0,0.0,0.0,0.0,6.37
Amazon_Black_Howler,25.0,LC,1.0,1.0,0.0,0.0,0.0,0.0,0.0,6.45
Mantled_Howler,40.45,LC,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.12
Central_American_Black_Howler,16.86,EN,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.56
Bolivian_Red_Howler,,LC,1.0,1.0,0.0,0.0,0.0,0.0,0.0,6.5
Colombian_Red_Howler,22.0,LC,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5.92
Maranhão_Red_handed_Howler,24.74,,,,,,,,,
Azara_s_Night_Monkey,7.0,LC,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.21
Brumback_s_Night_Monkey,17.5,VU,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.67
Gray_legged_Night_Monkey,,VU,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51
Hernández_Camacho_s_Night_Monkey,,,,,,,,,,
Lemurine_Night_Monkey,4.35,VU,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.89
Andean_Night_Monkey,1.23,VU,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8
Ma_s_Night_Monkey,9.2,VU,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.79
Black_headed_Night_Monkey,10.5,LC,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96
Humboldt_s_Night_Monkey,4.0,LC,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.77
Spix_s_Night_Monkey,6.3,LC,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7
Panamanian_Night_Monkey,8.0,DD,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9
Golden_Angwantibo,,LC,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21
Calabar_Angwantibo,10.0,LC,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31
White_bellied_Spider_Monkey,269.9166666666667,EN,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.07
Black_Spider_Monkey,192.0,EN,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.37
Brown_headed_Spider_Monkey,,CR,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.03
Central_American_Spider_Monkey,388.0971428571429,EN,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.54
Variegated_Spider_Monkey,40.0,CR,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.6
White_whiskered_Spider_Monkey,,EN,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.1
Red_faced_Black_Spider_Monkey,255.0,VU,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.28
Betsileo_Woolly_Lemur,,EN,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.92
Bemaraha_Woolly_Lemur,2.0,EN,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.03
Eastern_Woolly_Lemur,1.5,VU,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.17
Southern_Woolly_Lemur,5.72,EN,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.15
Masoala_Woolly_Lemur,,EN,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.92
Western_Woolly_Lemur,0.95,EN,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8
Peyrieras_s_Woolly_Lemur,1.0,VU,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.08
Manombo_Woolly_Lemur,,VU,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96
Sambirano_Woolly_Lemur,,EN,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85
Southern_Muriqui,340.0,EN,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.84
Northern_Muriqui,309.0,CR,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
Ayres_Black_Uakari,,VU,,,,,,,,
Bald_Uacari,493.0,VU,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.17
Black_headed_Uacari,,VU,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.94
Spix_s_Black_headed_Uacari,500.0,VU,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.35
Black_crowned_Dwarf_Marmoset,,LC,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12
Blond_Titi,50.0,CR,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.15
Coimbra_Filho_s_Titi,10.0,EN,1.0,1.0,0.0,0.0,0.0,0.0,0.0,
Southern_Bahian_Titi,22.0,VU,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.37
Black_fronted_Titi,34.5,NT,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
Masked_Titi,11.5,VU,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.32
Goeldi_s_Monkey*,150.0,VU,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48
Buffy_tufted_ear_Marmoset,11.0,VU,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44
Buffy_headed_Marmoset,35.5,EN,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43
Geoffroy_s_Tufted_ear_Marmoset,23.3,LC,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.24
Common_Marmoset,2.2,LC,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.32
Wied_s_Black_tufted_ear_Marmoset,38.9,NT,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38
Black_tufted_ear_Marmoset,12.8,LC,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.33
Philippine_Tarsier,4.4030000000000005,NT,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13
Eastern_Pygmy_Marmoset,,LC,,,,,,,,
Pygmy_Marmoset,0.34,LC,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12
Ecuadorian_White_fronted_Capuchin,288.0,CR,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.19
Humboldt_s_White_fronted_Capuchin,115.0,LC,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.74
Venezuelan_Brown_Capuchin,84.0,LC,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
Colombian_White_faced_Capuchin,59.0,LC,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.11
Río_Cesar_White_fronted_Capuchin,,,,,,,,,,
Shock_headed_Capuchin,150.0,NT,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.85
Panamanian_White_faced_Capuchin,134.4,LC,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.22
Ka_apor_Capuchin,62.4,CR,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7
Sierra_de_Perijá_White_fronted_Capuchin,,,,,,,,,,
Santa_Marta_White_fronted_Capuchin,,EN,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
Guianan_Weeper_Capuchin,257.0,LC,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.88
Spix_s_White_fronted_Capuchin,,LC,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.74
Varied_White_fronted_Capuchin,,EN,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.74
Marañón_White_fronted_Capuchin,240.0,,,,,,,,,
Western_Tarsier,1.5,VU,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12
Agile_Mangabey,303.0,LC,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.58
Sooty_Mangabey,500.0,NT,1.0,1.0,0.0,0.0,0.0,0.0,0.0,8.6
Golden_bellied_Mangabey,,DD,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.5
Tana_River_Mangabey,59.7,EN,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.44
White_naped_Mangabey,200.0,EN,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.28
Sanje_River_Mangabey,240.0,EN,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.05
Red_capped_Mangabey,247.4,VU,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5
Syke_s_Monkey,14.25,LC,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.28
Red_tailed_Monkey,22.5,LC,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.24
Campbell_s_Monkey,72.375,LC,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.6
Moustached_Monkey,44.5,LC,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.48
Dent_s_Monkey,,LC,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.54
Diana_Monkey,63.0,VU,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5
Silver_Monkey,28.4,LC,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
Dryas_Monkey,4.9,CR,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.65
Red_bellied_Monkey,,VU,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5
Red_eared_Monkey,31.5,VU,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4
Owl_faced_Monkey,,VU,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.43
Virungas_Golden_Monkey,67.0,EN,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2
Lesula,,NE,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
Lowe_s_Monkey,14.5,LC,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.9
Blue_Monkey,175.0,LC,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.89
Mona_Monkey,3.0,LC,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.05
De_Brazza_s_Monkey,7.0,LC,1.0,0.0,0.0,0.0,1.0,0.0,0.0,5.74
Putty_nosed_Monkey,80.25,LC,1.0,0.0,0.0,0.0,1.0,0.0,0.0,5.46
Spot_nosed_Monkey,89.375,LC,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.65
Crowned_Monkey,100.0,VU,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.58
Roloway_Monkey,189.0,EN,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.55
Sclater_s_Monkey,25.0,VU,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.25
Wolf_s_Monkey,,LC,1.0,1.0,0.0,0.0,1.0,0.0,0.0,3.34
Montagne_d_Ambre_Dwarf_Lemur,,NE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Crossley_s_Dwarf_Lemur,,DD,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29
Lavasoa_Dwarf_lemur,,NE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Greater_Dwarf_Lemur,4.0,DD,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51
Fat_tailed_Dwarf_Lemur,1.56,LC,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17666666666666667
Lesser_Iron_gray_Dwarf_Lemur,,DD,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3
 Sheth's_Dwarf_Lemur,,Unrated,,,,,,,,
Sibree_s_Dwarf_Lemur,6.4,CR,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27
Thomas_s_Dwarf_Lemur,,NE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Yellow_handed_Titi,20.0,LC,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.5
White_chested_Titi,14.2,LC,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.37
Medem_s_Titi,,VU,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.18
Rio_Purus_Titi,45.0,LC,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5
Rio_Juruá_Collared_Titi,,,,,,,,,,
White_collared_Titi,20.0,LC,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25
White_nosed_Bearded_Saki,210.0,EN,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.82
Rio_Negro_Beared_Saki,142.0,LC,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.74
