,CommonName,Locomotion
0,Allen_s_Swamp_Monkey,BOTH
1,Hairy_eared_Dwarf_Lemur,AR
2,L_Hoest_s_Monkey,T
3,Preuss_s_Monkey,T
4,Sun_tailed_Monkey,BOTH
5,Ursine_Red_Howler,AR
6,Red_handed_Howler,AR
7,Paraguayan_Howler,AR
8,Spix_s_Howler,AR
9,Brown_Howler,AR
10,Guianan_Red_Howler,AR
11,Amazon_Black_Howler,AR
12,Mantled_Howler,AR
13,Central_American_Black_Howler,AR
14,Bolivian_Red_Howler,AR
15,Colombian_Red_Howler,AR
16,Maranhão_Red_handed_Howler,AR
17,Azara_s_Night_Monkey,AR
18,Brumback_s_Night_Monkey,AR
19,Gray_legged_Night_Monkey,AR
20,Hernández_Camacho_s_Night_Monkey,AR
21,Lemurine_Night_Monkey,AR
22,Andean_Night_Monkey,AR
23,Ma_s_Night_Monkey,AR
24,Black_headed_Night_Monkey,AR
25,Humboldt_s_Night_Monkey,AR
26,Spix_s_Night_Monkey,AR
27,Panamanian_Night_Monkey,AR
28,Golden_Angwantibo,AR
29,Calabar_Angwantibo,AR
30,White_bellied_Spider_Monkey,AR
31,Black_Spider_Monkey,AR
32,Brown_headed_Spider_Monkey,AR
33,Central_American_Spider_Monkey,AR
34,Variegated_Spider_Monkey,AR
35,White_whiskered_Spider_Monkey,AR
36,Red_faced_Black_Spider_Monkey,AR
37,Betsileo_Woolly_Lemur,AR
38,Bemaraha_Woolly_Lemur,AR
39,Eastern_Woolly_Lemur,AR
40,Southern_Woolly_Lemur,AR
41,Masoala_Woolly_Lemur,AR
42,Western_Woolly_Lemur,AR
43,Peyrieras_s_Woolly_Lemur,AR
44,Manombo_Woolly_Lemur,AR
45,Sambirano_Woolly_Lemur,AR
46,Southern_Muriqui,AR
47,Northern_Muriqui,AR
48,Ayres_Black_Uakari,
49,Bald_Uacari,AR
51,Black_headed_Uacari,AR
52,Spix_s_Black_headed_Uacari,AR
53,Black_crowned_Dwarf_Marmoset,AR
54,Blond_Titi,AR
55,Coimbra_Filho_s_Titi,AR
56,Southern_Bahian_Titi,AR
57,Black_fronted_Titi,AR
58,Masked_Titi,AR
59,Goeldi_s_Monkey*,AR
60,Buffy_tufted_ear_Marmoset,AR
61,Buffy_headed_Marmoset,AR
62,Geoffroy_s_Tufted_ear_Marmoset,AR
63,Common_Marmoset,AR
64,Wied_s_Black_tufted_ear_Marmoset,AR
65,Black_tufted_ear_Marmoset,AR
66,Philippine_Tarsier,AR
67,Eastern_Pygmy_Marmoset,
68,Pygmy_Marmoset,AR
69,Ecuadorian_White_fronted_Capuchin,AR
70,Humboldt_s_White_fronted_Capuchin,BOTH
71,Venezuelan_Brown_Capuchin,AR
72,Colombian_White_faced_Capuchin,AR
73,Río_Cesar_White_fronted_Capuchin,AR
74,Shock_headed_Capuchin,AR
75,Panamanian_White_faced_Capuchin,AR
76,Ka_apor_Capuchin,AR
77,Sierra_de_Perijá_White_fronted_Capuchin,AR
78,Santa_Marta_White_fronted_Capuchin,AR
79,Guianan_Weeper_Capuchin,AR
80,Spix_s_White_fronted_Capuchin,AR
81,Varied_White_fronted_Capuchin,AR
82,Marañón_White_fronted_Capuchin,AR
83,Western_Tarsier,AR
84,Agile_Mangabey,BOTH
85,Sooty_Mangabey,T
86,Golden_bellied_Mangabey,T
87,Tana_River_Mangabey,BOTH
88,White_naped_Mangabey,T
89,Sanje_River_Mangabey,BOTH
90,Red_capped_Mangabey,BOTH
91,Syke_s_Monkey,AR
92,Red_tailed_Monkey,AR
93,Campbell_s_Monkey,AR
94,Moustached_Monkey,AR
95,Dent_s_Monkey,AR
96,Diana_Monkey,AR
97,Silver_Monkey,AR
98,Dryas_Monkey,BOTH
99,Red_bellied_Monkey,AR
100,Red_eared_Monkey,AR
101,Owl_faced_Monkey,BOTH
102,Virungas_Golden_Monkey,AR
103,Lesula,BOTH
104,Lowe_s_Monkey,AR
105,Blue_Monkey,AR
106,Mona_Monkey,AR
107,De_Brazza_s_Monkey,BOTH
108,Putty_nosed_Monkey,AR
109,Spot_nosed_Monkey,AR
110,Crowned_Monkey,AR
111,Roloway_Monkey,AR
112,Sclater_s_Monkey,AR
113,Wolf_s_Monkey,AR
114,Montagne_d_Ambre_Dwarf_Lemur,
115,Crossley_s_Dwarf_Lemur,AR
