,CommonName,Average_Weight
0,Allen_s_Swamp_Monkey,5.300000000000001
2,Hairy_eared_Dwarf_Lemur,0.08
4,L_Hoest_s_Monkey,5.0
6,Preuss_s_Monkey,3.8
8,Sun_tailed_Monkey,5.4
10,Ursine_Red_Howler,6.37
11,Red_handed_Howler,6.4
12,Paraguayan_Howler,5.38
13,Spix_s_Howler,6.37
14,Brown_Howler,5.54
15,Guianan_Red_Howler,6.37
16,Amazon_Black_Howler,6.45
17,Mantled_Howler,6.12
18,Central_American_Black_Howler,6.56
19,Bolivian_Red_Howler,6.5
20,Colombian_Red_Howler,5.92
22,MaranhÃ£o_Red_handed_Howler,4.7
23,Azara_s_Night_Monkey,1.21
24,Brumback_s_Night_Monkey,0.67
25,Gray_legged_Night_Monkey,0.51
26,HernÃ¡ndez_Camacho_s_Night_Monkey,
27,Lemurine_Night_Monkey,0.89
28,Andean_Night_Monkey,0.8
29,Ma_s_Night_Monkey,0.79
30,Black_headed_Night_Monkey,0.96
31,Humboldt_s_Night_Monkey,0.77
32,Spix_s_Night_Monkey,0.7
33,Panamanian_Night_Monkey,0.9
34,Golden_Angwantibo,0.21
35,Calabar_Angwantibo,0.31
36,White_bellied_Spider_Monkey,8.07
37,Black_Spider_Monkey,9.37
38,Brown_headed_Spider_Monkey,9.03
39,Central_American_Spider_Monkey,7.54
40,Variegated_Spider_Monkey,8.6
41,White_whiskered_Spider_Monkey,8.1
43,Red_faced_Black_Spider_Monkey,8.28
44,Betsileo_Woolly_Lemur,0.92
46,Bemaraha_Woolly_Lemur,1.03
48,Eastern_Woolly_Lemur,1.17
50,Southern_Woolly_Lemur,1.15
52,Masoala_Woolly_Lemur,0.92
53,Western_Woolly_Lemur,0.8
54,Peyrieras_s_Woolly_Lemur,1.08
56,Manombo_Woolly_Lemur,0.96
58,Sambirano_Woolly_Lemur,0.85
59,Southern_Muriqui,8.84
60,Northern_Muriqui,9.0
61,Ayres_Black_Uakari,
62,Bald_Uacari,3.17
63,Black_headed_Uacari,2.94
65,Spix_s_Black_headed_Uacari,2.35
67,Black_crowned_Dwarf_Marmoset,0.12
68,Blond_Titi,1.15
69,Coimbra_Filho_s_Titi,
71,Southern_Bahian_Titi,1.37
73,Black_fronted_Titi,
74,Masked_Titi,1.32
75,Goeldi_s_Monkey*,0.48
76,Buffy_tufted_ear_Marmoset,0.44
77,Buffy_headed_Marmoset,0.43
78,Geoffroy_s_Tufted_ear_Marmoset,0.24
79,Common_Marmoset,0.32
80,Wied_s_Black_tufted_ear_Marmoset,0.38
81,Black_tufted_ear_Marmoset,0.33
82,Philippine_Tarsier,0.13
83,Eastern_Pygmy_Marmoset,
84,Pygmy_Marmoset,0.12
85,Ecuadorian_White_fronted_Capuchin,2.19
86,Humboldt_s_White_fronted_Capuchin,2.74
87,Venezuelan_Brown_Capuchin,
88,Colombian_White_faced_Capuchin,3.11
89,RÃ­o_Cesar_White_fronted_Capuchin,
90,Shock_headed_Capuchin,2.85
92,Panamanian_White_faced_Capuchin,3.22
94,Ka_apor_Capuchin,2.7
96,Sierra_de_PerijÃ¡_White_fronted_Capuchin,
97,Santa_Marta_White_fronted_Capuchin,
98,Guianan_Weeper_Capuchin,2.88
99,Spix_s_White_fronted_Capuchin,2.74
100,Varied_White_fronted_Capuchin,2.74
101,MaraÃ±Ã³n_White_fronted_Capuchin,3.35
102,Western_Tarsier,0.12
103,Agile_Mangabey,7.58
104,Sooty_Mangabey,8.6
105,Golden_bellied_Mangabey,9.5
107,Tana_River_Mangabey,7.44
108,White_naped_Mangabey,7.28
109,Sanje_River_Mangabey,8.05
110,Red_capped_Mangabey,7.5
111,Syke_s_Monkey,5.28
112,Red_tailed_Monkey,3.24
113,Campbell_s_Monkey,3.6
114,Moustached_Monkey,3.48
115,Dent_s_Monkey,3.54
116,Diana_Monkey,4.5
117,Silver_Monkey,
118,Dryas_Monkey,2.65
119,Red_bellied_Monkey,3.5
120,Red_eared_Monkey,3.4
121,Owl_faced_Monkey,4.43
122,Virungas_Golden_Monkey,6.2
123,Lesula,5.0
124,Lowe_s_Monkey,3.9
125,Blue_Monkey,4.89
126,Mona_Monkey,4.05
127,De_Brazza_s_Monkey,5.74
128,Putty_nosed_Monkey,5.46
129,Spot_nosed_Monkey,3.65
130,Crowned_Monkey,3.58
131,Roloway_Monkey,4.55
132,Sclater_s_Monkey,3.25
133,Wolf_s_Monkey,3.34
134,Montagne_d_Ambre_Dwarf_Lemur,
135,Crossley_s_Dwarf_Lemur,0.29
136,Lavasoa_Dwarf_lemur,
137,Greater_Dwarf_Lemur,0.51
139,Fat_tailed_Dwarf_Lemur,0.17666666666666667
142,Lesser_Iron_gray_Dwarf_Lemur,0.3
143, Sheth's_Dwarf_Lemur,
144,Sibree_s_Dwarf_Lemur,0.27
145,Thomas_s_Dwarf_Lemur,
146,Yellow_handed_Titi,1.5
147,White_chested_Titi,1.37
148,Medem_s_Titi,1.18
150,Rio_Purus_Titi,1.5
151,Rio_JuruÃ¡_Collared_Titi,1.25
152,White_collared_Titi,1.25
153,White_nosed_Bearded_Saki,2.82
154,Rio_Negro_Beared_Saki,2.74
