,Family,Genus,CommonName,Locomotion
0,Cercopithecidae,Allenopithecus,Allen_s_Swamp_Monkey,BOTH
1,Cheirogaleidae,Allocebus,Hairy_eared_Dwarf_Lemur,AR
2,Cercopithecidae,Allochrocebus,L_Hoest_s_Monkey,T
3,Cercopithecidae,Allochrocebus,Preuss_s_Monkey,T
4,Cercopithecidae,Allochrocebus,Sun_tailed_Monkey,BOTH
5,Atelidae,Alouatta,Ursine_Red_Howler,AR
6,Atelidae,Alouatta,Red_handed_Howler,AR
7,Atelidae,Alouatta,Paraguayan_Howler,AR
8,Atelidae,Alouatta,Spix_s_Howler,AR
9,Atelidae,Alouatta,Brown_Howler,AR
10,Atelidae,Alouatta,Guianan_Red_Howler,AR
11,Atelidae,Alouatta,Amazon_Black_Howler,AR
12,Atelidae,Alouatta,Mantled_Howler,AR
13,Atelidae,Alouatta,Central_American_Black_Howler,AR
14,Atelidae,Alouatta,Bolivian_Red_Howler,AR
15,Atelidae,Alouatta,Colombian_Red_Howler,AR
16,Atelidae,Alouatta,Maranhão_Red_handed_Howler,AR
17,Aotidae,Aotus,Azara_s_Night_Monkey,AR
18,Aotidae,Aotus,Brumback_s_Night_Monkey,AR
19,Aotidae,Aotus,Gray_legged_Night_Monkey,AR
20,Aotidae,Aotus,Hernández_Camacho_s_Night_Monkey,AR
21,Aotidae,Aotus,Lemurine_Night_Monkey,AR
22,Aotidae,Aotus,Andean_Night_Monkey,AR
23,Aotidae,Aotus,Ma_s_Night_Monkey,AR
24,Aotidae,Aotus,Black_headed_Night_Monkey,AR
25,Aotidae,Aotus,Humboldt_s_Night_Monkey,AR
26,Aotidae,Aotus,Spix_s_Night_Monkey,AR
27,Aotidae,Aotus,Panamanian_Night_Monkey,AR
28,Lorisidae,Arctocebus,Golden_Angwantibo,AR
29,Lorisidae,Arctocebus,Calabar_Angwantibo,AR
30,Atelidae,Ateles,White_bellied_Spider_Monkey,AR
31,Atelidae,Ateles,Black_Spider_Monkey,AR
32,Atelidae,Ateles,Brown_headed_Spider_Monkey,AR
33,Atelidae,Ateles,Central_American_Spider_Monkey,AR
34,Atelidae,Ateles,Variegated_Spider_Monkey,AR
35,Atelidae,Ateles,White_whiskered_Spider_Monkey,AR
36,Atelidae,Ateles,Red_faced_Black_Spider_Monkey,AR
37,Indriidae,Avahi,Betsileo_Woolly_Lemur,AR
38,Indriidae,Avahi,Bemaraha_Woolly_Lemur,AR
39,Indriidae,Avahi,Eastern_Woolly_Lemur,AR
40,Indriidae,Avahi,Southern_Woolly_Lemur,AR
41,Indriidae,Avahi,Masoala_Woolly_Lemur,AR
42,Indriidae,Avahi,Western_Woolly_Lemur,AR
43,Indriidae,Avahi,Peyrieras_s_Woolly_Lemur,AR
44,Indriidae,Avahi,Manombo_Woolly_Lemur,AR
45,Indriidae,Avahi,Sambirano_Woolly_Lemur,AR
46,Atelidae,Brachyteles,Southern_Muriqui,AR
47,Atelidae,Brachyteles,Northern_Muriqui,AR
48,Pitheciidae,Cacajao,Ayres_Black_Uakari,
