,Family,Genus,CommonName,Status
0,Cercopithecidae,Allenopithecus,Allen_s_Swamp_Monkey,LC
1,Cheirogaleidae,Allocebus,Hairy_eared_Dwarf_Lemur,VU
2,Cercopithecidae,Allochrocebus,L_Hoest_s_Monkey,VU
3,Cercopithecidae,Allochrocebus,Preuss_s_Monkey,EN
4,Cercopithecidae,Allochrocebus,Sun_tailed_Monkey,VU
5,Atelidae,Alouatta,Ursine_Red_Howler,LC
6,Atelidae,Alouatta,Red_handed_Howler,VU
7,Atelidae,Alouatta,Paraguayan_Howler,LC
8,Atelidae,Alouatta,Spix_s_Howler,VU
9,Atelidae,Alouatta,Brown_Howler,LC
10,Atelidae,Alouatta,Guianan_Red_Howler,LC
11,Atelidae,Alouatta,Amazon_Black_Howler,LC
12,Atelidae,Alouatta,Mantled_Howler,LC
13,Atelidae,Alouatta,Central_American_Black_Howler,EN
14,Atelidae,Alouatta,Bolivian_Red_Howler,LC
15,Atelidae,Alouatta,Colombian_Red_Howler,LC
16,Atelidae,Alouatta,Maranhão_Red_handed_Howler,EN
17,Aotidae,Aotus,Azara_s_Night_Monkey,LC
18,Aotidae,Aotus,Brumback_s_Night_Monkey,VU
19,Aotidae,Aotus,Gray_legged_Night_Monkey,VU
20,Aotidae,Aotus,Hernández_Camacho_s_Night_Monkey,DD
21,Aotidae,Aotus,Lemurine_Night_Monkey,VU
22,Aotidae,Aotus,Andean_Night_Monkey,VU
23,Aotidae,Aotus,Ma_s_Night_Monkey,VU
24,Aotidae,Aotus,Black_headed_Night_Monkey,LC
25,Aotidae,Aotus,Humboldt_s_Night_Monkey,LC
26,Aotidae,Aotus,Spix_s_Night_Monkey,LC
27,Aotidae,Aotus,Panamanian_Night_Monkey,DD
28,Lorisidae,Arctocebus,Golden_Angwantibo,LC
29,Lorisidae,Arctocebus,Calabar_Angwantibo,LC
30,Atelidae,Ateles,White_bellied_Spider_Monkey,EN
31,Atelidae,Ateles,Black_Spider_Monkey,EN
32,Atelidae,Ateles,Brown_headed_Spider_Monkey,CR
33,Atelidae,Ateles,Central_American_Spider_Monkey,EN
34,Atelidae,Ateles,Variegated_Spider_Monkey,CR
35,Atelidae,Ateles,White_whiskered_Spider_Monkey,EN
36,Atelidae,Ateles,Red_faced_Black_Spider_Monkey,VU
37,Indriidae,Avahi,Betsileo_Woolly_Lemur,EN
38,Indriidae,Avahi,Bemaraha_Woolly_Lemur,EN
39,Indriidae,Avahi,Eastern_Woolly_Lemur,VU
40,Indriidae,Avahi,Southern_Woolly_Lemur,EN
41,Indriidae,Avahi,Masoala_Woolly_Lemur,EN
42,Indriidae,Avahi,Western_Woolly_Lemur,EN
43,Indriidae,Avahi,Peyrieras_s_Woolly_Lemur,VU
44,Indriidae,Avahi,Manombo_Woolly_Lemur,VU
45,Indriidae,Avahi,Sambirano_Woolly_Lemur,EN
46,Atelidae,Brachyteles,Southern_Muriqui,EN
47,Atelidae,Brachyteles,Northern_Muriqui,CR
48,Pitheciidae,Cacajao,Ayres_Black_Uakari,VU
49,Pitheciidae,Cacajao,Bald_Uacari,VU
50,Pitheciidae,Cacajao,Black_headed_Uacari,VU
51,Pitheciidae,Cacajao,Black_headed_Uacari,LC
52,Pitheciidae,Cacajao,Spix_s_Black_headed_Uacari,VU
53,Callitrichidae,Callibella,Black_crowned_Dwarf_Marmoset,LC
54,Pitheciidae,Callicebus,Blond_Titi,CR
55,Pitheciidae,Callicebus,Coimbra_Filho_s_Titi,EN
56,Pitheciidae,Callicebus,Southern_Bahian_Titi,VU
57,Pitheciidae,Callicebus,Black_fronted_Titi,NT
58,Pitheciidae,Callicebus,Masked_Titi,VU
59,Callitrichidae,Callimico,Goeldi_s_Monkey*,VU
60,Callitrichidae,Callithrix,Buffy_tufted_ear_Marmoset,VU
61,Callitrichidae,Callithrix,Buffy_headed_Marmoset,EN
62,Callitrichidae,Callithrix,Geoffroy_s_Tufted_ear_Marmoset,LC
63,Callitrichidae,Callithrix,Common_Marmoset,LC
64,Callitrichidae,Callithrix,Wied_s_Black_tufted_ear_Marmoset,NT
65,Callitrichidae,Callithrix,Black_tufted_ear_Marmoset,LC
66,Tarsiidae,Carlito,Philippine_Tarsier,NT
67,Callitrichidae,Cebuella,Eastern_Pygmy_Marmoset,LC
68,Callitrichidae,Cebuella,Pygmy_Marmoset,LC
69,Cebidae,Cebus,Ecuadorian_White_fronted_Capuchin,CR
70,Cebidae,Cebus,Humboldt_s_White_fronted_Capuchin,LC
71,Cebidae,Cebus,Venezuelan_Brown_Capuchin,LC
72,Cebidae,Cebus,Colombian_White_faced_Capuchin,LC
73,Cebidae,Cebus,Río_Cesar_White_fronted_Capuchin,DD
74,Cebidae,Cebus,Shock_headed_Capuchin,NT
75,Cebidae,Cebus,Panamanian_White_faced_Capuchin,LC
76,Cebidae,Cebus,Ka_apor_Capuchin,CR
77,Cebidae,Cebus,Sierra_de_Perijá_White_fronted_Capuchin,NE
78,Cebidae,Cebus,Santa_Marta_White_fronted_Capuchin,EN
79,Cebidae,Cebus,Guianan_Weeper_Capuchin,LC
80,Cebidae,Cebus,Spix_s_White_fronted_Capuchin,LC
81,Cebidae,Cebus,Varied_White_fronted_Capuchin,EN
82,Cebidae,Cebus,Marañón_White_fronted_Capuchin,NE
83,Tarsiidae,Cephalopachus,Western_Tarsier,VU
84,Cercopithecidae,Cercocebus,Agile_Mangabey,LC
85,Cercopithecidae,Cercocebus,Sooty_Mangabey,NT
86,Cercopithecidae,Cercocebus,Golden_bellied_Mangabey,DD
87,Cercopithecidae,Cercocebus,Tana_River_Mangabey,EN
88,Cercopithecidae,Cercocebus,White_naped_Mangabey,EN
89,Cercopithecidae,Cercocebus,Sanje_River_Mangabey,EN
90,Cercopithecidae,Cercocebus,Red_capped_Mangabey,VU
91,Cercopithecidae,Cercopithecus,Syke_s_Monkey,LC
92,Cercopithecidae,Cercopithecus,Red_tailed_Monkey,LC
93,Cercopithecidae,Cercopithecus,Campbell_s_Monkey,LC
94,Cercopithecidae,Cercopithecus,Moustached_Monkey,LC
95,Cercopithecidae,Cercopithecus,Dent_s_Monkey,LC
96,Cercopithecidae,Cercopithecus,Diana_Monkey,VU
97,Cercopithecidae,Cercopithecus,Silver_Monkey,LC
98,Cercopithecidae,Cercopithecus,Dryas_Monkey,CR
99,Cercopithecidae,Cercopithecus,Red_bellied_Monkey,VU
100,Cercopithecidae,Cercopithecus,Red_eared_Monkey,VU
101,Cercopithecidae,Cercopithecus,Owl_faced_Monkey,VU
102,Cercopithecidae,Cercopithecus,Virungas_Golden_Monkey,EN
103,Cercopithecidae,Cercopithecus,Lesula,NE
104,Cercopithecidae,Cercopithecus,Lowe_s_Monkey,LC
105,Cercopithecidae,Cercopithecus,Blue_Monkey,LC
106,Cercopithecidae,Cercopithecus,Mona_Monkey,LC
107,Cercopithecidae,Cercopithecus,De_Brazza_s_Monkey,LC
108,Cercopithecidae,Cercopithecus,Putty_nosed_Monkey,LC
109,Cercopithecidae,Cercopithecus,Spot_nosed_Monkey,LC
110,Cercopithecidae,Cercopithecus,Crowned_Monkey,VU
111,Cercopithecidae,Cercopithecus,Roloway_Monkey,EN
112,Cercopithecidae,Cercopithecus,Sclater_s_Monkey,VU
113,Cercopithecidae,Cercopithecus,Wolf_s_Monkey,LC
114,Cheirogaleidae,Cheirogaleus,Montagne_d_Ambre_Dwarf_Lemur,NE
115,Cheirogaleidae,Cheirogaleus,Crossley_s_Dwarf_Lemur,DD
116,Cheirogaleidae,Cheirogaleus,Lavasoa_Dwarf_lemur,NE
117,Cheirogaleidae,Cheirogaleus,Greater_Dwarf_Lemur,DD
118,Cheirogaleidae,Cheirogaleus,Fat_tailed_Dwarf_Lemur,LC
119,Cheirogaleidae,Cheirogaleus,Lesser_Iron_gray_Dwarf_Lemur,DD
120,Cheirogaleidae,Cheirogaleus, Sheth's_Dwarf_Lemur,
121,Cheirogaleidae,Cheirogaleus,Sibree_s_Dwarf_Lemur,CR
122,Cheirogaleidae,Cheirogaleus,Thomas_s_Dwarf_Lemur,NE
123,Pitheciidae,Cheracebus,Yellow_handed_Titi,LC
124,Pitheciidae,Cheracebus,White_chested_Titi,LC
125,Pitheciidae,Cheracebus,Medem_s_Titi,VU
126,Pitheciidae,Cheracebus,Rio_Purus_Titi,LC
127,Pitheciidae,Cheracebus,Rio_Juruá_Collared_Titi,LC
128,Pitheciidae,Cheracebus,White_collared_Titi,LC
129,Pitheciidae,Chiropotes,White_nosed_Bearded_Saki,EN
130,Pitheciidae,Chiropotes,Rio_Negro_Beared_Saki,LC
131,Pitheciidae,Chiropotes, Brown_backed_Bearded_Saki,
132,Pitheciidae,Chiropotes,Guianan_Beared_Saki,NE
133,Pitheciidae,Chiropotes,Black_Bearded_Saki,CR
134,Pitheciidae,Chiropotes,Uta_Hick_s_Bearded_Saki,EN
135,Cercopithecidae,Chlorocebus,Grivet_Monkey,LC
136,Cercopithecidae,Chlorocebus,Malbrouck_Monkey,LC
137,Cercopithecidae,Chlorocebus,Bale_Monkey,VU
138,Cercopithecidae,Chlorocebus,Vervet_Monkey,LC
139,Cercopithecidae,Chlorocebus,Green_Monkey,LC
140,Cercopithecidae,Chlorocebus,Tantalus_Monkey,LC
141,Cercopithecidae,Colobus,Angolan_Colobus,LC
142,Cercopithecidae,Colobus,Guereza,LC
143,Cercopithecidae,Colobus,King_Colobus,VU
144,Cercopithecidae,Colobus,Black_Colobus,VU
145,Cercopithecidae,Colobus,White_thighed_Colobus,VU
146,Daubentoniidae,Daubentonia,Aye_aye,EN
147,Cercopithecidae,Erythrocebus,Patas_Monkey,LC
148,Cercopithecidae,Erythrocebus,Heuglin's_Patas_Monkey,
149,Lemuridae,Eulemur,White_fronted_Brown_Lemur,EN
150,Lemuridae,Eulemur,White_collared_Brown_Lemur,CR
151,Lemuridae,Eulemur,Red_collared_Brown_Lemur,EN
152,Lemuridae,Eulemur,Crowned_Lemur,EN
153,Lemuridae,Eulemur,Blue_eyed_Black_Lemur,CR
154,Lemuridae,Eulemur,Brown_Lemur,NT
155,Lemuridae,Eulemur,Black_Lemur,VU
156,Lemuridae,Eulemur,Mongoose_Lemur,CR
157,Lemuridae,Eulemur,Red_bellied_Lemur,VU
158,Lemuridae,Eulemur,Red_fronted_Brown_Lemur,NT
159,Lemuridae,Eulemur,Rufous_Brown_Lemur,VU
160,Lemuridae,Eulemur,Sanford_s_Brown_Lemur,EN
161,Galagidae,Euoticus,Southern_Needle_clawed_Galago,LC
162,Galagidae,Euoticus,Northern_Needle_clawed_Galago,LC
163,Galagidae,Galago,Somali_Lesser_Galago,LC
164,Galagidae,Galago,Spectacled_Lesser_Galago,LC
165,Galagidae,Galago,Southern_Lesser_Galago,LC
166,Galagidae,Galago,Northern_Lesser_Galago,LC
167,Galagidae,Galagoides,Kenya_Coast_Dwarf_Galago,LC
168,Galagidae,Galagoides,Demidoff_s_Dwarf_Galago,LC
169,Galagidae,Galagoides,Mozambique_Dwarf_Galago,LC
170,Galagidae,Galagoides,Mountain_Dwarf_Galago,NT
171,Galagidae,Galagoides,Rondo_Dwarf_Galago,CR
172,Galagidae,Galagoides,Angolan_Dwarf_Galago,
173,Galagidae,Galagoides,Thomas_s_Dwarf_Galago,LC
174,Galagidae,Galagoides,Tanzania_Coast_Dwarf_Galago,LC
175,Hominidae,Gorilla,Eastern_Gorilla,CR
176,Hominidae,Gorilla,Western_Gorilla,CR
177,Lemuridae,Hapalemur,Lac_Alaotra_Bamboo_Lemur,CR
178,Lemuridae,Hapalemur,Golden_Bamboo_Lemur,CR
179,Lemuridae,Hapalemur,Gray_Bamboo_Lemur,VU
180,Lemuridae,Hapalemur,Southern_Bamboo_Lemur,VU
181,Lemuridae,Hapalemur,Northern_Bamboo_Lemur,VU
182,Hylobatidae,Hoolock,Western_Hoolock_Gibbon,EN
