,Family,Genus,CommonName,Diet
0,Cercopithecidae,Allenopithecus,Allen_s_Swamp_Monkey,Frugivore
1,Cheirogaleidae,Allocebus,Hairy_eared_Dwarf_Lemur,Omnivore
2,Cercopithecidae,Allochrocebus,L_Hoest_s_Monkey,Omnivore
3,Cercopithecidae,Allochrocebus,Preuss_s_Monkey,Omnivore
4,Cercopithecidae,Allochrocebus,Sun_tailed_Monkey,Omnivore
5,Atelidae,Alouatta,Ursine_Red_Howler,Folivore
6,Atelidae,Alouatta,Red_handed_Howler,Folivore_frugivore
7,Atelidae,Alouatta,Paraguayan_Howler,Folivore_frugivore
8,Atelidae,Alouatta,Spix_s_Howler,Folivore_frugivore
9,Atelidae,Alouatta,Brown_Howler,Folivore_frugivore
10,Atelidae,Alouatta,Guianan_Red_Howler,Folivore
11,Atelidae,Alouatta,Amazon_Black_Howler,Folivore_frugivore
12,Atelidae,Alouatta,Mantled_Howler,Folivore
13,Atelidae,Alouatta,Central_American_Black_Howler,Folivore_frugivore
14,Atelidae,Alouatta,Bolivian_Red_Howler,Folivore_frugivore
15,Atelidae,Alouatta,Colombian_Red_Howler,Folivore_frugivore
16,Atelidae,Alouatta,Maranhão_Red_handed_Howler,Folivore_frugivore
17,Aotidae,Aotus,Azara_s_Night_Monkey,Omnivore
18,Aotidae,Aotus,Brumback_s_Night_Monkey,Omnivore
19,Aotidae,Aotus,Gray_legged_Night_Monkey,
20,Aotidae,Aotus,Hernández_Camacho_s_Night_Monkey,
21,Aotidae,Aotus,Lemurine_Night_Monkey,Omnivore
22,Aotidae,Aotus,Andean_Night_Monkey,Omnivore
23,Aotidae,Aotus,Ma_s_Night_Monkey,Frugivore
24,Aotidae,Aotus,Black_headed_Night_Monkey,Frugivore
25,Aotidae,Aotus,Humboldt_s_Night_Monkey,Frugivore
26,Aotidae,Aotus,Spix_s_Night_Monkey,Frugivore
27,Aotidae,Aotus,Panamanian_Night_Monkey,Frugivore
28,Lorisidae,Arctocebus,Golden_Angwantibo,Insectivore
29,Lorisidae,Arctocebus,Calabar_Angwantibo,Insectivore
30,Atelidae,Ateles,White_bellied_Spider_Monkey,Frugivore
31,Atelidae,Ateles,Black_Spider_Monkey,Frugivore
32,Atelidae,Ateles,Brown_headed_Spider_Monkey,Frugivore
33,Atelidae,Ateles,Central_American_Spider_Monkey,Frugivore
34,Atelidae,Ateles,Variegated_Spider_Monkey,Frugivore
35,Atelidae,Ateles,Variegated_Spider_Monkey,Folivore-frugivore
36,Atelidae,Ateles,White_whiskered_Spider_Monkey,Frugivore
37,Atelidae,Ateles,Red_faced_Black_Spider_Monkey,Frugivore
38,Indriidae,Avahi,Betsileo_Woolly_Lemur,
39,Indriidae,Avahi,Bemaraha_Woolly_Lemur,Folivore
40,Indriidae,Avahi,Eastern_Woolly_Lemur,Folivore
41,Indriidae,Avahi,Southern_Woolly_Lemur,Folivore
42,Indriidae,Avahi,Masoala_Woolly_Lemur,Folivore
43,Indriidae,Avahi,Western_Woolly_Lemur,Folivore
44,Indriidae,Avahi,Peyrieras_s_Woolly_Lemur,Folivore
45,Indriidae,Avahi,Manombo_Woolly_Lemur,
46,Indriidae,Avahi,Sambirano_Woolly_Lemur,Folivore
47,Atelidae,Brachyteles,Southern_Muriqui,Folivore_frugivore
48,Atelidae,Brachyteles,Northern_Muriqui,Folivore_frugivore
49,Atelidae,Brachyteles,Northern_Muriqui,Folivore_frugivore
50,Pitheciidae,Cacajao,Ayres Black_Uakari,
51,Pitheciidae,Cacajao,Bald_Uacari,Frugivore
52,Pitheciidae,Cacajao,Black-headed_Uacari,
53,Pitheciidae,Cacajao,Black_headed_Uacari,Frugivore
54,Pitheciidae,Cacajao,Spix_s_Black_headed_Uacari,Frugivore
55,Callitrichidae,Callibella,Black_crowned_Dwarf_Marmoset,Omnivore
56,Pitheciidae,Callicebus,Blond_Titi,
57,Pitheciidae,Callicebus,Coimbra_Filho_s_Titi,Frugivore
58,Pitheciidae,Callicebus,Southern_Bahian_Titi,Frugivore
59,Pitheciidae,Callicebus,Black_fronted_Titi,Frugivore
60,Pitheciidae,Callicebus,Masked_Titi,Frugivore
61,Callitrichidae,Callimico,Goeldi_s_Monkey*,Omnivore
62,Callitrichidae,Callithrix,Buffy_tufted_ear_Marmoset,Omnivore
63,Callitrichidae,Callithrix,Buffy_headed_Marmoset,Gummivore
64,Callitrichidae,Callithrix,Buffy_headed_Marmoset,Gummivore
65,Callitrichidae,Callithrix,Geoffroy_s_Tufted_ear_Marmoset,Gummivore
66,Callitrichidae,Callithrix,Common_Marmoset,Gummivore
67,Callitrichidae,Callithrix,Wied_s_Black_tufted_ear_Marmoset,Omnivore
68,Callitrichidae,Callithrix,Black_tufted_ear_Marmoset,Gummivore
69,Tarsiidae,Carlito,Philippine_Tarsier,Insectivore
70,Callitrichidae,Cebuella,Eastern_Pygmy_Marmoset,
71,Callitrichidae,Cebuella,Pygmy_Marmoset,Omnivore
72,Callitrichidae,Cebuella,Pygmy_Marmoset,Omnivore
73,Callitrichidae,Cebuella,Pygmy_Marmoset,Omnivore
74,Callitrichidae,Cebuella,Pygmy_Marmoset,Omnivore
75,Cebidae,Cebus,Ecuadorian_White_fronted_Capuchin,Omnivore
76,Cebidae,Cebus,Humboldt_s_White_fronted_Capuchin,Omnivore
77,Cebidae,Cebus,Venezuelan_Brown_Capuchin,
78,Cebidae,Cebus,Colombian_White_faced_Capuchin,Omnivore
79,Cebidae,Cebus,Río_Cesar_White_fronted_Capuchin,
80,Cebidae,Cebus,Shock_headed_Capuchin,Omnivore
81,Cebidae,Cebus,Panamanian_White_faced_Capuchin,Omnivore
82,Cebidae,Cebus,Ka_apor_Capuchin,Omnivore
83,Cebidae,Cebus,Sierra_de_Perijá_White_fronted_Capuchin,
84,Cebidae,Cebus,Santa_Marta_White_fronted_Capuchin,
85,Cebidae,Cebus,Guianan_Weeper_Capuchin,Omnivore
86,Cebidae,Cebus,Spix_s_White_fronted_Capuchin,
87,Cebidae,Cebus,Varied_White_fronted_Capuchin,
