,Family,Genus,CommonName,Territory (ha)
0,Cercopithecidae,Allenopithecus,Allen_s_Swamp_Monkey,
1,Cheirogaleidae,Allocebus,Hairy_eared_Dwarf_Lemur,25.75
2,Cercopithecidae,Allochrocebus,L_Hoest_s_Monkey,116.6
3,Cercopithecidae,Allochrocebus,L_Hoest_s_Monkey,61.325
4,Cercopithecidae,Allochrocebus,Preuss_s_Monkey,
5,Cercopithecidae,Allochrocebus,Sun_tailed_Monkey,
6,Atelidae,Alouatta,Ursine_Red_Howler,9.0
9,Atelidae,Alouatta,Red_handed_Howler,7.125
10,Atelidae,Alouatta,Red_handed_Howler,15.75
11,Atelidae,Alouatta,Paraguayan_Howler,1.95
12,Atelidae,Alouatta,Paraguayan_Howler,11.875
13,Atelidae,Alouatta,Spix_s_Howler,69.0
14,Atelidae,Alouatta,Spix_s_Howler,50.1
15,Atelidae,Alouatta,Brown_Howler,15.0
17,Atelidae,Alouatta,Guianan_Red_Howler,45.0
18,Atelidae,Alouatta,Guianan_Red_Howler,6.62
20,Atelidae,Alouatta,Mantled_Howler,40.45
21,Atelidae,Alouatta,Central_American_Black_Howler,16.86
22,Atelidae,Alouatta,Central_American_Black_Howler,7.1
23,Atelidae,Alouatta,Bolivian_Red_Howler,
24,Atelidae,Alouatta,Colombian_Red_Howler,70.0
27,Atelidae,Alouatta,Maranhão_Red_handed_Howler,24.74
28,Aotidae,Aotus,Azara_s_Night_Monkey,7.0
29,Aotidae,Aotus,Brumback_s_Night_Monkey,17.5
30,Aotidae,Aotus,Gray_legged_Night_Monkey,
31,Aotidae,Aotus,Hernández_Camacho_s_Night_Monkey,
32,Aotidae,Aotus,Lemurine_Night_Monkey,3.0
34,Aotidae,Aotus,Andean_Night_Monkey,1.23
35,Aotidae,Aotus,Ma_s_Night_Monkey,9.2
36,Aotidae,Aotus,Black_headed_Night_Monkey,10.5
37,Aotidae,Aotus,Humboldt_s_Night_Monkey,4.0
38,Aotidae,Aotus,Spix_s_Night_Monkey,6.3
39,Aotidae,Aotus,Panamanian_Night_Monkey,8.0
40,Aotidae,Aotus,Panamanian_Night_Monkey,9.2
41,Lorisidae,Arctocebus,Golden_Angwantibo,
42,Lorisidae,Arctocebus,Calabar_Angwantibo,10.0
43,Atelidae,Ateles,White_bellied_Spider_Monkey,270.0
49,Atelidae,Ateles,Black_Spider_Monkey,192.0
50,Atelidae,Ateles,Brown_headed_Spider_Monkey,
51,Atelidae,Ateles,Central_American_Spider_Monkey,388.0
58,Atelidae,Ateles,Variegated_Spider_Monkey,55.0
60,Atelidae,Ateles,White_whiskered_Spider_Monkey,
61,Atelidae,Ateles,Red_faced_Black_Spider_Monkey,255.0
62,Indriidae,Avahi,Betsileo_Woolly_Lemur,
63,Indriidae,Avahi,Bemaraha_Woolly_Lemur,2.0
64,Indriidae,Avahi,Eastern_Woolly_Lemur,1.5
65,Indriidae,Avahi,Southern_Woolly_Lemur,5.72
66,Indriidae,Avahi,Masoala_Woolly_Lemur,
67,Indriidae,Avahi,Western_Woolly_Lemur,0.95
68,Indriidae,Avahi,Peyrieras_s_Woolly_Lemur,1.0
69,Indriidae,Avahi,Manombo_Woolly_Lemur,
70,Indriidae,Avahi,Sambirano_Woolly_Lemur,
71,Atelidae,Brachyteles,Southern_Muriqui,340.0
72,Atelidae,Brachyteles,Southern_Muriqui,70.0
73,Atelidae,Brachyteles,Northern_Muriqui,238.0
75,Pitheciidae,Cacajao,Ayres_Black_Uakari,
77,Pitheciidae,Cacajao,Bald_Uacari,1746.0
78,Pitheciidae,Cacajao,Black_headed_Uacari,500.0
80,Pitheciidae,Cacajao,Spix_s_Black_headed_Uacari,500.0
82,Pitheciidae,Callicebus,Blond_Titi,50.0
83,Pitheciidae,Callicebus,Coimbra_Filho_s_Titi,10.0
84,Pitheciidae,Callicebus,Southern_Bahian_Titi,22.0
85,Pitheciidae,Callicebus,Southern_Bahian_Titi,24.0
86,Pitheciidae,Callicebus,Black_fronted_Titi,34.5
87,Pitheciidae,Callicebus,Masked_Titi,11.5
88,Callitrichidae,Callimico,Goeldi_s_Monkey*,86.0
91,Callitrichidae,Callithrix,Buffy_tufted_ear_Marmoset,23.0
95,Callitrichidae,Callithrix,Buffy_headed_Marmoset,35.5
96,Callitrichidae,Callithrix,Geoffroy_s_Tufted_ear_Marmoset,23.3
97,Callitrichidae,Callithrix,Common_Marmoset,2.2
98,Callitrichidae,Callithrix,Common_Marmoset,5.0
99,Callitrichidae,Callithrix,Wied_s_Black_tufted_ear_Marmoset,21.0
102,Callitrichidae,Callithrix,Black_tufted_ear_Marmoset,7.0
105,Tarsiidae,Carlito,Philippine_Tarsier,4.4030000000000005
106,Callitrichidae,Cebuella,Eastern_Pygmy_Marmoset,
107,Callitrichidae,Cebuella,Pygmy_Marmoset,1.0
110,Cebidae,Cebus,Ecuadorian_White_fronted_Capuchin,288.0
111,Cebidae,Cebus,Humboldt_s_White_fronted_Capuchin,115.0
112,Cebidae,Cebus,Humboldt_s_White_fronted_Capuchin,240.0
113,Cebidae,Cebus,Venezuelan_Brown_Capuchin,84.0
114,Cebidae,Cebus,Colombian_White_faced_Capuchin,103.0
120,Cebidae,Cebus,Río_Cesar_White_fronted_Capuchin,
121,Cebidae,Cebus,Shock_headed_Capuchin,150.0
122,Cebidae,Cebus,Panamanian_White_faced_Capuchin,134.4
123,Cebidae,Cebus,Ka_apor_Capuchin,62.4
124,Cebidae,Cebus,Sierra_de_Perijá_White_fronted_Capuchin,
