;CommonName;TrophicGuild;Fruit;Leaves;Flowers;Seeds;Animal;Gums;Nectar;Other;Country
0;Allen_s_Swamp_Monkey;Frugivore;81;NI;NI;NI;17;NI;NI;NI;NI
1;Hairy_eared_Dwarf_Lemur;Omnivore;NI;NI;NI;NI;50-75;NI;NI;NI;Madagascar
2;L_Hoest_s_Monkey;Omnivore;31.43;34.71;NI;3.18;10.34;NI;NI;NI;NI
3;Preuss_s_Monkey;Omnivore;52;NI;NI;NI;NI;NI;NI;NI;Cameroon
4;Sun_tailed_Monkey;Omnivore;26;NI;NI;NI;27.5;NI;NI;NI;NI
5;Ursine_Red_Howler;Folivore;NI;70;NI;NI;NI;NI;NI;NI;NI
6;Red_handed_Howler;Folivore_frugivore;59;13.3;27.6;NI;NI;NI;NI;NI;Brazil
7;Paraguayan_Howler;Folivore_frugivore;28.5;58.8;2.7;0.4;NI;NI;NI;9.6;NI
8;Spix_s_Howler;Folivore_frugivore;55;24.8;5.7;NI;NI;NI;NI;14.5;Brazil
9;Brown_Howler;Folivore_frugivore;46.8;34.2;11.8;NI;NI;NI;NI;7.2;NI
10;Guianan_Red_Howler;Folivore;NI;75.5;12.6;NI;NI;NI;NI;11.9;NI
11;Amazon_Black_Howler;Folivore_frugivore;NI;NI;NI;NI;NI;NI;NI;NI;NI
12;Mantled_Howler;Folivore;12.5;63.6;18.2;NI;NI;NI;NI;5.7;NI
13;Central_American_Black_Howler;Folivore_frugivore;41;45;11;NI;NI;NI;NI;3;Belize
14;Bolivian_Red_Howler;Folivore_frugivore;NI;NI;NI;NI;NI;NI;NI;NI;Peru
15;Colombian_Red_Howler;Folivore_frugivore;40;50;NI;NI;NI;NI;NI;10;Colombia
16;Maranhão_Red_handed_Howler;Folivore_frugivore;NI;NI;NI;NI;NI;NI;NI;NI;NI
17;Azara_s_Night_Monkey;Omnivore;NI;NI;NI;NI;NI;NI;NI;NI;NI
18;Brumback_s_Night_Monkey;Omnivore;NI;NI;NI;NI;NI;NI;NI;NI;NI
19;Gray_legged_Night_Monkey;;;;;;;;;;Ecuador
20;Hernández_Camacho_s_Night_Monkey;Non-observed;;;;;;;;;Colombia
21;Lemurine_Night_Monkey;Omnivore;NI;NI;NI;NI;NI;NI;NI;NI;NI
22;Andean_Night_Monkey;Omnivore;42;6;5;;19;NI;NI;28;Brazil
23;Ma_s_Night_Monkey;Frugivore;NI;NI;NI;NI;NI;NI;NI;NI;NI
24;Black_headed_Night_Monkey;Frugivore;NI;NI;NI;NI;NI;NI;NI;NI;NI
25;Humboldt_s_Night_Monkey;Frugivore;70;4;10;NI;16;NI;NI;NI;Paraguay
26;Spix_s_Night_Monkey;Frugivore;83;NI;NI;NI;NI;NI;17;NI;Peru
27;Panamanian_Night_Monkey;Frugivore;65;30;NI;NI;5;NI;NI;NI;NI
28;Golden_Angwantibo;Insectivore;14;NI;NI;NI;85;NI;NI;NI;NI
29;Calabar_Angwantibo;Insectivore;NI;NI;NI;NI;NI;NI;NI;NI;NI
30;White_bellied_Spider_Monkey;Frugivore;78.5;7.7;1.3;NI;NI;NI;1.9;10.6;Ecuador
31;Black_Spider_Monkey;Frugivore;85.8;10.7;2.9;NI;NI;NI;0.6;NI;Bolivia
32;Brown_headed_Spider_Monkey;Frugivore;NI;NI;NI;NI;NI;NI;NI;NI;Ecuador
33;Central_American_Spider_Monkey;Frugivore;82.12;17.22;NI;NI;NI;NI;NI;0.66;NI
35;Variegated_Spider_Monkey;Folivore-frugivore;54.1;37;3.9;NI;NI;NI;NI;4.8;Region (Colombia)
36;White_whiskered_Spider_Monkey;Frugivore;NI;NI;NI;NI;NI;NI;NI;NI;NI
37;Red_faced_Black_Spider_Monkey;Frugivore;88.5;5.5;4.4;NI;NI;NI;NI;NI;Surinam
38;Betsileo_Woolly_Lemur;Non-observed;;;;;;;;;Madagascar
39;Bemaraha_Woolly_Lemur;Folivore;NI;NI;NI;NI;NI;NI;NI;NI;NI
40;Eastern_Woolly_Lemur;Folivore;NI;NI;NI;NI;NI;NI;NI;NI;NI
41;Southern_Woolly_Lemur;Folivore;NI;100;NI;NI;NI;NI;NI;NI;NI
42;Masoala_Woolly_Lemur;Folivore;NI;NI;NI;NI;NI;NI;NI;NI;NI
43;Western_Woolly_Lemur;Folivore;NI;77;NI;NI;NI;NI;NI;23;Madagascar
